"","ENFORCEMENT_ACTION.PWSID","ENFORCEMENT_ACTION.ENFORCEMENT_ID","ENFORCEMENT_ACTION.ORIGINATOR_CODE","ENFORCEMENT_ACTION.ENFORCEMENT_DATE","ENFORCEMENT_ACTION.ENFORCEMENT_ACTION_TYPE_CODE","ENFORCEMENT_ACTION.ENFORCEMENT_COMMENT_TEXT","X"
"338","PA4410152","11189503","S","10-DEC-10","SIA",NA,NA
"339","PA4410152","11189521005","S","05-APR-11","SIE",NA,NA
"340","PA4410152","11189522005","S","05-APR-11","SIF",NA,NA
"341","PA4410152","11189523005","S","05-APR-11","SOX",NA,NA
"342","PA4410152","11189525","S","05-APR-11","SIA",NA,NA
"343","PA4410152","11285787010","S","19-SEP-11","SOX",NA,NA
"344","PA4410152","120211913001","S","31-MAY-12","SOX",NA,NA
"345","PA4410152","12404767001","S","31-MAY-12","SOX",NA,NA
"346","PA4410152","133225413002","S","10-DEC-12","SOX",NA,NA
"347","PA4410152","143409519002","S","18-DEC-13","SOX",NA,NA
"348","PA4410152","150093631002","S","24-NOV-14","SOX",NA,NA
"349","PA4410152","150224031004","S","30-DEC-14","SOX",NA,NA
"350","PA4410152","150684331005","S","25-MAR-15","SOX",NA,NA
"351","PA4410152","150831025002","S","18-NOV-14","SOX",NA,NA
"352","PA4410152","160095437002","S","23-MAR-16","SOX",NA,NA
"353","PA4410152","160762036006","S","21-APR-16","SIA",NA,NA
"354","PA4410152","160762037006","S","21-APR-16","SIE",NA,NA
"355","PA4410152","160762038006","S","21-APR-16","SIF",NA,NA
"356","PA4410152","160762039006","S","21-APR-16","SOX",NA,NA
"357","PA4410152","162149231002","S","20-OCT-15","SOX",NA,NA
"358","PA4410152","162149232002","S","18-DEC-15","SFV",NA,NA
"359","PA4410152","162149234002","S","18-DEC-15","SOX",NA,NA
"360","PA4410152","162152231032","S","22-MAR-16","SOX",NA,NA
"361","PA4410152","162936330036","S","21-APR-16","SIA",NA,NA
"362","PA4410152","162936331036","S","21-APR-16","SIE",NA,NA
"363","PA4410152","162936332036","S","21-APR-16","SIF",NA,NA
